Term
Mass Spectrometer:
Mass Spectrum:
Maturity Index:
Megaregolith:
Mesosiderite:
Metamorphic:
Metasomatism:
Meteor:
Meteorite:
Meteorite stranding surface:
Meteoritic bombardment:
Meteoriticist:
Meteoritics:
Meteoroid:
Methane:
Mineral:
Mineralogy:
Molecular cloud:
Monomict
Moonquake
Mountain:
Nadir:
Nakhlites:
Nanometer:
NASA:
Native element:
Nautical twilight:
Nd:YAG:
NEAR (Near Earth Asteroid Rendezvous):
Nearside:
Nectarian:
NIMS:
Nitrogen:
Noachian Epoch:
Noble gas:
Non-gravitational forces:
Norite:
Nucleosynthesis:
Nucleus:
Ocean of Storms:
Olivine:
Olympus Mons:
Oort cloud:
"Orange ""soil"":"
Ordinary chondrite:
Organic:
Organism:
Oxygen:
Oxygen fugacity:
Oxygen isotope plot:
Pahoehoe:
Pallasite:
Parallax:
Parent body:
Parsec [pc]:
Partition coefficient:
Pascal:
Pathfinder:
Peridotite:
Perihelion:
Petrology:
Phase angle:
Phoenix Mars Mission:
Photosynthesis:
Phyllosilicates:
Pixel:
Plagioclase feldspar:
Planck's constant:
Planet:
Planetesimals:
Plasma:
Plasma sheet:
Plate tectonics:
Pluton:
Poikilitic:
Polycyclic aromatic hydrocarbons:
Polymict:
Porosity:
Porphyritic:
Pre-Nectarian:
Presolar grain:
Pressure ridges:
Primitive meteorite:
Protoplanetary disk:
Protostar:
Pulsar:
Pyroclastic eruption:
Pyroxene:
Pyroxenite:
R-process:
Racemic:
Radioactivity:
"Radiocarbon, 14C:"
Radiometric Dating:
Rare Earth Elements (REE):
Ray:
Recovery:
Reflectance spectroscopy:
Refractory elements:
Refractory inclusion:
Regmaglypt:
Regolith
Remote sensing:
Resolution:
Right ascension
Rille:
Roche limit:
Rock:
S-process:
Scale:
Sea of Serenity
Sea of Tranquillity:
Secondary crater:
Sediment:
Sedimentary:
SELENE (Kaguya):
Shergottites:
Shock wave:
Short-period:
Siderophile:
Silicate:
Silicon:
Sill:
SIMS:
SMOW:
SNC meteorites:
Snowline:
SOHO Mission:
Soil:
Sol:
Solar elongation:
Solar conjunction:
Solar flare:
Solar power:
Solar nebula:
Solar System:
Solar wind:
Solidus:
Solubility:
Source:
Space weathering:
Spacecraft:
Spectra:
Spectroscopy:
Speed of light:
Spinel:
Sputtering:
Stardust Mission:
Stellar nucleosynthesis:
Stellar winds:
Stratigraphy:
Stratigraphic column:
Subduction:
Sublimation:
Sulfur:
Supernova (Type II):
Taurus-Littrow:
Tektite:
Tectonics:
Terrain:
Thermal inertia:
Thermocouple:
Thermodynamics:
Thrust fault:
Thin section:
Tidal stresses:
Troctolite:
Topography:
Torino Scale:
Transient crater:
Troilite:
Ultramafic:
Ultraviolet:
Unconsolidated:
Ureilite:
Vent:
Vesicle:
Vesta:
Viking:
Viscosity:
Volatile elements:
Volcano:
Voyager:
Wark-Lovering rims:
Weathering:
Widmanstätten Pattern:
Yarkovsky Effect:
YORP Effect:
Zodiacal light:
